dc:identifier,prism:coverDate,affilname,affiliation-city,affiliation-country
SCOPUS_ID:85112246017,2021-10-01,Universidade Federal Fluminense,Niteroi,Brazil
SCOPUS_ID:85112246017,2021-10-01,SARAH Network of Rehabilitation Hospitals,Brasilia,Brazil
SCOPUS_ID:85105887514,2021-10-01,The International Agency for the Prevention of Blindness,London,United Kingdom
SCOPUS_ID:85105887514,2021-10-01,L.V. Prasad Eye Institute India,Hyderabad,India
SCOPUS_ID:85116955096,2021-09-01,Universidade de São Paulo,Sao Paulo,Brazil
SCOPUS_ID:85109585981,2021-09-01,Pontificia Universidad Javeriana,Bogota,Colombia
SCOPUS_ID:85106617575,2021-06-01,Universidad de Deusto,Bilbao,Spain
SCOPUS_ID:85104657972,2021-04-08,Universidade de Pernambuco,Recife,Brazil
SCOPUS_ID:85104152762,2021-04-01,Federal University of Agreste of Pernambuco,Garanhuns,Brazil
SCOPUS_ID:85104047429,2021-04-01,Universidade Federal de Juiz de Fora,Juiz de Fora,Brazil
SCOPUS_ID:85114197279,2021-03-22,Universidad Andrés Bello,Santiago,Chile
SCOPUS_ID:85104862232,2021-03-01,IFCE,Aracati,Brazil
SCOPUS_ID:85102574777,2021-03-01,Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil
SCOPUS_ID:85102574777,2021-03-01,Technological Development Support Laboratory (LADETEC),Rio de Janeiro,Brazil
SCOPUS_ID:85102574777,2021-03-01,Carlos Chagas Filho Foundation for Supporting Research in the State of Rio de Janeiro (FAPERJ),Rio de Janeiro,Brazil
SCOPUS_ID:85100533991,2021-03-01,Universidad Tecnológica de Bolívar,Cartagena,Colombia
SCOPUS_ID:85100533991,2021-03-01,Pontificia Universidad Javeriana,Bogota,Colombia
SCOPUS_ID:85101674301,2021-02-17,Universidad Loyola Andalucia,Cordoba,Spain
SCOPUS_ID:85081919401,2021-02-01,Hospital de Clinicas de Porto Alegre,Porto Alegre,Brazil
SCOPUS_ID:85081919401,2021-02-01,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil
SCOPUS_ID:85117208191,2021-01-01,Universidad de La Sabana,Chía,Colombia
SCOPUS_ID:85115283667,2021-01-01,Universidade Federal de Pelotas,Pelotas,Brazil
SCOPUS_ID:85114240909,2021-01-01,Cybermatic International,Montreal,Canada
SCOPUS_ID:85107439898,2021-01-01,"Instituto Federal de Educação, Ciência e Tecnologia do Ceará, Aracati",Aracati,Brazil
SCOPUS_ID:85107424075,2021-01-01,Duke University,Durham,United States
SCOPUS_ID:85103145357,2021-01-01,Universidade Federal da Fronteira Sul,Chapeco,Brazil
SCOPUS_ID:85103145357,2021-01-01,Universidade Federal de Santa Catarina,Florianopolis,Brazil
SCOPUS_ID:85091665327,2021-01-01,Universidade Estadual de Campinas,Campinas,Brazil
SCOPUS_ID:85089787336,2021-01-01,London School of Hygiene &amp; Tropical Medicine,London,United Kingdom
SCOPUS_ID:85089787336,2021-01-01,National University of Singapore,Singapore City,Singapore
SCOPUS_ID:85089787336,2021-01-01,Universität Heidelberg,Heidelberg,Germany
SCOPUS_ID:85089896434,2020-11-01,Southampton Business School,Southampton,United Kingdom
SCOPUS_ID:85089896434,2020-11-01,Pontificia Universidad Javeriana,Bogota,Colombia
SCOPUS_ID:85092944337,2020-10-01,Institut Pasteur de la Guyane,Cayenne,French Guiana
SCOPUS_ID:85092371601,2020-09-29,Universidad de Chile,Santiago,Chile
SCOPUS_ID:85092255038,2020-09-01,Universidad de Chile,Santiago,Chile
SCOPUS_ID:85092255038,2020-09-01,Universidad de la Frontera,Temuco,Chile
SCOPUS_ID:85089203708,2020-08-01,Universidad de Lima,Lima,Peru
SCOPUS_ID:85089127351,2020-08-01,Aarhus Universitetshospital,Aarhus,Denmark
SCOPUS_ID:85096311570,2020-07-01,"Universidad Continental, Huancayo",Huancayo,Peru
SCOPUS_ID:85091140235,2020-07-01,Universidade Federal do Ceará,Fortaleza,Brazil
SCOPUS_ID:85085557642,2020-05-05,Universidade do Vale do Rio dos Sinos,Sao Leopoldo,Brazil
SCOPUS_ID:85100493718,2020-01-01,Universidade Federal Rural do Semi-Árido – UFERSA,Mossoro,Brazil
SCOPUS_ID:85091565274,2020-01-01,Universidade Federal de Goiás,,Brazil
SCOPUS_ID:85090952140,2020-01-01,Hospital La Vega,Murcia,Spain
SCOPUS_ID:85079328556,2019-12-01,Universidad Tecnologica Nacional,Buenos Aires,Argentina
SCOPUS_ID:85076583475,2019-12-01,University of the Philippines Open University,Laguna,Philippines
SCOPUS_ID:85076583475,2019-12-01,Harvard T.H. Chan School of Public Health,Boston,United States
SCOPUS_ID:85076583475,2019-12-01,Health Systems Global,Bern,Switzerland
SCOPUS_ID:85076611670,2019-11-20,Center for Engineering and Industrial Development- CIDESI,Mexico City,Mexico
SCOPUS_ID:85079344900,2019-11-01,Universidad Pedagógica y Tecnológica de Colombia,Tunja,Colombia
SCOPUS_ID:85074071630,2019-11-01,Hospital do Coração (HCor),Sao Paulo,Brazil
SCOPUS_ID:85074071630,2019-11-01,D’Or Institute for Research and Education,Rio de Janeiro,Brazil
SCOPUS_ID:85068537443,2019-06-01,Universidade Vale do Rio Doce,Governador Valadares,Brazil
SCOPUS_ID:85068537443,2019-06-01,Universidade Federal de Juiz de Fora,Juiz de Fora,Brazil
SCOPUS_ID:85065426332,2019-06-01,"Universidad de los Andes, Chile",Santiago,Chile
SCOPUS_ID:85068391764,2019-04-01,Escuela Superior Politecnica del Litoral Ecuador,Guayaquil,Ecuador
SCOPUS_ID:85029495123,2019-01-31,Universidad del Pais Vasco,Leioa,Spain
SCOPUS_ID:85047244084,2018-09-01,Universidad Nacional de Córdoba,Cordoba,Argentina
SCOPUS_ID:85055906134,2018-05-24,The University of Hong Kong,Pokfulam,Hong Kong
SCOPUS_ID:85041384523,2018-04-01,Universidad Antonio Nariño,Bogota,Colombia
SCOPUS_ID:85057530751,2018-01-01,Harvard T.H. Chan School of Public Health,Boston,United States
SCOPUS_ID:85057530751,2018-01-01,Universidade de São Paulo,Sao Paulo,Brazil
SCOPUS_ID:85039786287,2018-01-01,Ludwig-Maximilians-Universität München,Munich,Germany
SCOPUS_ID:85039786287,2018-01-01,Klinikum der Universität München,Munich,Germany
SCOPUS_ID:85029576985,2017-12-01,Instituto Universitario del Hospital Italiano de Buenos Aires,Buenos Aires,Argentina
SCOPUS_ID:85026398611,2017-05-01,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil
SCOPUS_ID:84906903435,2014-01-01,Universidade Federal de Sergipe,Sao Cristovao,Brazil
SCOPUS_ID:84884418479,2013-10-01,Facultad de Medicina de la Universidad de Chile,Santiago,Chile
SCOPUS_ID:85024803930,2013-01-01,European Society of Radiology,Vienna,United States
SCOPUS_ID:84894294192,2013-01-01,Universidade de São Paulo,Sao Paulo,Brazil
SCOPUS_ID:84859859143,2012-04-23,Universidade Federal da Paraíba,Joao Pessoa,Brazil
SCOPUS_ID:79960154384,2011-07-15,Ministry of Education Brazil,Brasilia,Brazil
